OFFENSE_CODE,DISTRICT,SHOOTING,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,DAY,LATITUDE,LONGITUDE,REPORTING_AREA_STR
2007,C11,,2018,9,Monday,18,Part Two,ANNAPOLIS ST,3,42.31731905,-71.06150882,242.0
2900,B3,,2018,9,Monday,18,Part Two,BLUE HILL AVE,3,42.29590385,-71.08773294,463.0
2907,B3,,2018,9,Monday,18,Part Two,CLARKWOOD ST,3,42.28013735,-71.09079826,428.0
2629,B3,,2018,9,Monday,18,Part Two,HANSBOROUGH ST,3,42.28810362,-71.09153335,464.0
802,C11,,2018,9,Monday,19,Part Two,SALISBURY PARK,3,42.29928376,-71.059172,351.0
2662,B2,,2018,9,Monday,18,Part Two,COLUMBIA RD,3,42.30524752,-71.08089418,330.0
3207,A7,,2018,9,Monday,16,Part Three,COTTAGE ST,3,42.36742605,-71.03547266,30.0
614,B3,,2018,9,Monday,18,Part One,WILMORE ST,3,42.2779637,-71.09246318,427.0
613,B2,,2018,9,Monday,17,Part One,SHAWMUT AVE,3,42.33318299,-71.08307607,276.0
3109,E13,,2018,9,Sunday,20,Part Three,BRAGDON ST,2,42.31888243,-71.09929423,303.0
2612,B3,,2018,9,Monday,18,Part Two,CALLENDER ST,3,42.28848287,-71.08259001,432.0
1843,,,2018,9,Monday,18,Part Two,,3,42.30676881,-71.08431925,nan
3125,,,2018,9,Monday,18,Part Three,,3,42.30676881,-71.08431925,nan
1841,,,2018,9,Monday,18,Part Two,,3,42.30676881,-71.08431925,nan
301,A1,,2018,9,Monday,15,Part One,,3,0.0,0.0,76.0
1402,D4,,2018,9,Saturday,12,Part Two,W NEWTON ST,1,42.34385799,-71.07953502,149.0
3802,C11,,2018,9,Monday,15,Part Three,WASHINGTON ST,3,42.28492596,-71.07135254,402.0
619,B3,,2018,9,Monday,17,Part One,ELLINGTON ST,3,42.30154555,-71.08118184,456.0
3801,B2,,2018,9,Monday,15,Part Three,WARD ST,3,42.33511145,-71.09592156,901.0
1402,C11,,2018,9,Monday,15,Part Two,GENEVA AVE,3,42.29848866,-71.06313294,356.0
3018,A1,,2018,9,Monday,17,Part Three,BEACH ST,3,42.351084,-71.059395,116.0
3301,B3,,2018,9,Monday,16,Part Three,NIGHTINGALE ST,3,42.29540175,-71.08237834,441.0
3831,E5,,2018,9,Monday,15,Part Three,WASHINGTON ST,3,42.28788933,-71.12658585,562.0
3803,C11,,2018,9,Monday,16,Part Three,E COTTAGE ST,3,42.31866067,-71.05881776,244.0
802,A1,,2018,9,Monday,16,Part Two,BEACH ST,3,42.351084,-71.059395,116.0
2405,A1,,2018,9,Monday,16,Part Two,BEACH ST,3,42.351084,-71.059395,116.0
617,A1,,2018,9,Monday,16,Part One,WINTER ST,3,42.35602373,-71.06177615,102.0
3625,B2,,2018,9,Monday,15,Part Three,WAYLAND ST,3,42.31368925,-71.0742708,327.0
3106,B2,,2018,9,Monday,15,Part Three,WAYLAND ST,3,42.31368925,-71.0742708,327.0
1402,C6,,2018,8,Friday,17,Part Two,A ST,31,42.34754258,-71.0506621,205.0
3501,B2,,2018,9,Monday,17,Part Three,PERRIN ST,3,42.3218854,-71.07906279,265.0
3115,E18,,2018,9,Monday,15,Part Three,LEXINGTON AVE,3,42.26255067,-71.11582205,493.0
616,D14,,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,3,42.3353997,-71.15025675,790.0
3807,,,2018,9,Monday,16,Part Three,,3,42.28768807,-71.09386923,nan
301,,,2018,9,Monday,15,Part One,,3,42.31580852,-71.09829029,nan
1102,D4,,2018,9,Saturday,17,Part Two,RING RD,1,42.34813158,-71.08027002,143.0
3801,B2,,2018,9,Monday,15,Part Three,TREMONT ST,3,42.33380683,-71.10377843,603.0
3006,E13,,2018,9,Monday,16,Part Three,CENTRE ST,3,42.31322316,-71.11409925,642.0
3114,C11,,2018,9,Monday,15,Part Three,CROFTLAND AVE,3,42.28107109,-71.06925083,403.0
3006,B2,,2018,9,Monday,15,Part Three,KENSINGTON ST,3,42.3206268,-71.09108856,305.0
2629,E18,,2018,9,Monday,14,Part Two,DEFOREST ST,3,42.2675628,-71.1297447,547.0
3201,D4,,2018,8,Wednesday,14,Part Three,HUNTINGTON AVE,22,42.34481182,-71.08234324,145.0
613,D4,,2018,9,Monday,14,Part One,NEWBURY ST,3,42.35059717,-71.07881031,138.0
3006,B2,,2018,9,Monday,15,Part Three,ROXBURY ST,3,42.3296087,-71.08462109,288.0
802,C11,,2018,9,Monday,15,Part Two,EVERETT AVE,3,42.31526714,-71.0630687,257.0
802,E5,,2018,9,Sunday,12,Part Two,VERSHIRE ST,2,42.27169454,-71.14650799,706.0
3115,E18,,2018,9,Monday,14,Part Three,CLIFFMONT ST,3,42.27668221,-71.12065268,957.0
3006,E18,,2018,9,Monday,14,Part Three,CLARE AVE,3,42.27360053,-71.11897042,498.0
1849,C6,,2018,9,Monday,11,Part Two,MASSACHUSETTS AVE,3,42.33152148,-71.07085307,177.0
802,B3,,2018,9,Monday,13,Part Two,TENNIS RD,3,42.27615691,-71.09550303,469.0
613,C11,,2018,9,Monday,14,Part One,GALLIVAN BLVD,3,42.28512354,-71.04405667,381.0
724,D4,,2018,9,Monday,15,Part One,TREMONT ST,3,42.3411289,-71.07692951,154.0
3831,A1,,2018,9,Monday,14,Part Three,HANOVER ST,3,42.36339154,-71.05488123,84.0
3006,D14,,2018,9,Monday,13,Part Three,PRISCILLA RD,3,42.34488259,-71.15216614,776.0
1102,D14,,2018,8,Monday,12,Part Two,SHEPARD ST,20,42.34600153,-71.15112006,777.0
2647,A1,,2018,9,Monday,14,Part Two,MARTHA RD,3,42.36580175,-71.06538257,63.0
3820,,,2018,9,Monday,14,Part Three,,3,42.34320836,-71.0785066,nan
613,D4,,2018,9,Monday,14,Part One,HUNTINGTON AVE,3,42.3479724,-71.07849582,146.0
3115,B3,,2018,9,Monday,13,Part Three,WHITFIELD ST,3,42.2922213,-71.07467073,449.0
3301,B3,,2018,9,Monday,13,Part Three,WHITFIELD ST,3,42.2922213,-71.07467073,449.0
3803,,,2018,9,Monday,14,Part Three,,3,42.33892088,-71.10725211,nan
3201,A1,,2018,9,Monday,14,Part Three,NEW SUDBURY ST,3,42.36183857,-71.05976489,77.0
617,D14,,2018,8,Thursday,10,Part One,RADCLIFFE RD,23,42.35085449,-71.13408859,794.0
2905,D14,,2018,9,Monday,14,Part Two,FANEUIL ST,3,42.35479369,-71.14995785,780.0
3802,D14,,2018,9,Monday,14,Part Three,FANEUIL ST,3,42.35479369,-71.14995785,780.0
3410,C6,,2018,9,Monday,13,Part Three,E SIXTH ST,3,42.33298734,-71.04282382,229.0
1102,D4,,2018,9,Monday,14,Part Two,SAINT STEPHEN ST,3,42.34272627,-71.08646352,619.0
2647,B2,,2018,9,Monday,13,Part Two,AKRON ST,3,42.32579408,-71.08563758,294.0
1810,B2,,2018,9,Monday,13,Part Two,WOODCLIFF ST,3,42.31580934,-71.07618683,325.0
1842,B2,,2018,9,Monday,13,Part Two,WOODCLIFF ST,3,42.31580934,-71.07618683,325.0
613,D4,,2018,9,Monday,10,Part One,HUNTINGTON AVE,3,42.3479724,-71.07849582,146.0
3801,A1,,2018,9,Monday,13,Part Three,ENDICOTT ST,3,42.36588028,-71.05740251,79.0
3831,C11,,2018,9,Monday,14,Part Three,ROSSETER ST,3,42.30376511,-71.07484027,462.0
3006,C11,,2018,9,Monday,2,Part Three,TALBOT AVE,3,42.29019621,-71.07159012,398.0
3114,B2,,2018,9,Monday,13,Part Three,CAWFIELD ST,3,42.31993148,-71.06368978,237.0
614,B2,,2018,9,Monday,14,Part One,BLUE HILL AVE,3,42.3078214,-71.08354076,330.0
1402,C6,,2018,9,Monday,13,Part Two,E SEVENTH ST,3,42.33238533,-71.03016099,231.0
1806,,,2018,9,Monday,13,Part Two,,3,42.31224532,-71.07317861,nan
1848,A1,,2018,9,Monday,13,Part Two,TEMPLE PL,3,42.35521429,-71.06206351,111.0
1844,A1,,2018,9,Monday,12,Part Two,BEACON ST,3,42.35678442,-71.06670845,119.0
3831,D14,,2018,8,Friday,12,Part Three,SUTHERLAND RD,31,42.34023408,-71.14800614,788.0
3301,C6,,2018,9,Monday,12,Part Three,MASSACHUSETTS AVE,3,42.32198656,-71.06280666,185.0
619,C6,,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,3,42.32198656,-71.06280666,185.0
423,E13,,2018,9,Monday,12,Part One,CENTRE ST,3,42.32259354,-71.10619643,582.0
522,D4,,2018,9,Monday,3,Part One,PETERBOROUGH ST,3,42.34280177,-71.1006951,627.0
3115,E18,,2018,9,Monday,12,Part Three,WOLCOTT ST,3,42.23797683,-71.13000944,525.0
3006,A7,,2018,9,Monday,11,Part Three,BENNINGTON ST,3,42.38512136,-71.01150101,12.0
3831,B2,,2018,9,Monday,12,Part Three,FISHER AVE,3,42.33061023,-71.10853621,605.0
3205,B2,,2018,9,Monday,9,Part Three,KENSINGTON PARK,3,42.32171349,-71.08260822,297.0
2647,E5,,2018,9,Monday,12,Part Two,KEANE RD,3,42.29476186,-71.1623927,748.0
413,C11,,2018,9,Monday,12,Part One,DORCHESTER AVE,3,42.29328831,-71.06219497,361.0
1501,C11,,2018,9,Monday,12,Part Two,DORCHESTER AVE,3,42.29328831,-71.06219497,361.0
616,E5,,2018,9,Sunday,21,Part One,ARCHDALE RD,2,42.29277202,-71.12138967,564.0
522,D14,,2018,9,Monday,11,Part One,CHAMPNEY ST,3,42.3524123,-71.16878833,756.0
1402,B3,,2018,8,Friday,12,Part Two,BLUE HILL AVE,17,42.29216506,-71.08896989,463.0
3001,A15,,2018,9,Monday,11,Part Three,HIGH ST,3,42.37604137,-71.06211228,56.0
3831,B2,,2018,9,Sunday,19,Part Three,LAWRENCE AVE,2,42.31161123,-71.076256,326.0
2900,B2,,2018,9,Monday,11,Part Two,BEAUFORD LN,3,42.31620533,-71.07609249,325.0
3410,,,2018,9,Monday,11,Part Three,CHELSEA,3,-1.0,-1.0,nan
2629,C11,,2018,9,Monday,11,Part Two,WASHINGTON ST,3,42.29131613,-71.07170293,450.0
3301,C11,,2018,9,Monday,11,Part Three,SPEEDWELL ST,3,42.30406722,-71.06760042,341.0
3115,A1,,2018,9,Monday,11,Part Three,BEVERLY ST,3,42.36658726,-71.06019881,61.0
301,C11,,2018,9,Sunday,20,Part One,LYNDHURST ST,2,42.29290563,-71.06955795,362.0
3301,C11,,2018,9,Monday,11,Part Three,COLUMBIA RD,3,42.31363409,-71.06778025,332.0
3006,C11,,2018,9,Monday,10,Part Three,WESTVILLE TER,3,42.30098009,-71.06869928,344.0
613,D4,,2018,9,Monday,11,Part One,BOYLSTON ST,3,42.35095909,-71.0741278,129.0
2900,B2,,2018,9,Monday,11,Part Two,BEAUFORD LN,3,42.31620533,-71.07609249,325.0
3801,A1,,2018,9,Monday,10,Part Three,MILK ST,3,42.35822966,-71.05362239,101.0
3114,B2,,2018,9,Sunday,21,Part Three,TOWNSEND ST,2,42.3191711,-71.09192415,305.0
3410,E18,,2018,9,Monday,10,Part Three,NAVARRE ST,3,42.27758926,-71.11755202,499.0
3830,A1,,2018,9,Monday,11,Part Three,ATLANTIC AVE,3,42.357875,-71.051329,95.0
3801,C11,,2018,9,Sunday,15,Part Three,FULLER ST,2,42.28202294,-71.07125917,416.0
3301,B2,,2018,9,Monday,10,Part Three,WHITTIER ST,3,42.33380238,-71.08880867,909.0
3207,B2,,2018,9,Monday,10,Part Three,TREMONT ST,3,42.33402461,-71.09039049,289.0
561,E18,,2018,9,Monday,10,Part One,GREENWOOD AVE,3,42.26597955,-71.1217959,495.0
2914,E18,,2018,8,Tuesday,0,Part Two,RIVER ST,14,42.26361745,-71.10237387,485.0
3006,B3,,2018,9,Monday,9,Part Three,ASPINWALL RD,3,42.29125586,-71.07475092,449.0
423,B2,,2018,9,Monday,10,Part One,HUNTINGTON AVE,3,42.3375009,-71.09583094,600.0
802,B2,,2018,9,Monday,10,Part Two,HUNTINGTON AVE,3,42.3375009,-71.09583094,600.0
2405,B2,,2018,9,Monday,10,Part Two,HUNTINGTON AVE,3,42.3375009,-71.09583094,600.0
2610,B2,,2018,9,Monday,10,Part Two,HUNTINGTON AVE,3,42.3375009,-71.09583094,600.0
3006,B2,,2018,9,Monday,9,Part Three,WHEATLEY WAY,3,42.32935767,-71.07974589,904.0
619,C11,,2018,8,Thursday,13,Part One,ADAMS ST,23,42.27230624,-71.06721386,388.0
3410,D14,,2018,9,Monday,10,Part Three,GREYLOCK RD,3,42.35042708,-71.13496065,794.0
3115,C6,,2018,9,Monday,9,Part Three,W BROADWAY,3,42.33793018,-71.04947397,214.0
802,D4,,2018,9,Monday,9,Part Two,HARRISON AVE,3,42.33954199,-71.06940877,167.0
3301,C11,,2018,9,Monday,9,Part Three,TOPLIFF ST,3,42.30375506,-71.06839375,342.0
1109,D4,,2018,9,Monday,9,Part Two,NEWBURY ST,3,42.34840576,-71.08688339,142.0
3201,B2,,2018,9,Monday,1,Part Three,PERRIN ST,3,42.3218854,-71.07906279,265.0
3115,D14,,2018,8,Thursday,12,Part Three,PEACEABLE ST,30,42.34793886,-71.15229604,771.0
3201,D4,,2018,9,Monday,9,Part Three,ALBANY ST,3,42.34255919,-71.06270824,165.0
706,D4,,2018,9,Sunday,20,Part One,COMMONWEALTH AVE,2,42.34880461,-71.09392554,623.0
1402,D4,,2018,9,Monday,5,Part Two,BEACON ST,3,42.35393998,-71.07802992,131.0
3115,B2,,2018,9,Monday,8,Part Three,RUGGLES ST,3,42.33445761,-71.088061,909.0
1402,B3,,2018,9,Monday,7,Part Two,NORFOLK ST,3,42.28996858,-71.0723254,437.0
3006,E18,,2018,9,Monday,7,Part Three,GARFIELD AVE,3,42.24235156,-71.12079258,940.0
3301,B2,,2018,9,Monday,7,Part Three,HUCKINS ST,3,42.32368852,-71.07519735,263.0
614,E5,,2018,9,Sunday,16,Part One,WASHINGTON ST,2,42.28788933,-71.12658585,562.0
3115,B3,,2018,9,Monday,7,Part Three,GREENWOOD ST,3,42.29716347,-71.07954018,445.0
413,A15,,2018,9,Monday,6,Part One,CAMBRIDGE ST,3,42.38356867,-71.0753672,50.0
2403,A15,,2018,9,Monday,6,Part Two,CAMBRIDGE ST,3,42.38356867,-71.0753672,50.0
3801,A15,,2018,9,Monday,6,Part Three,CAMBRIDGE ST,3,42.38356867,-71.0753672,50.0
3301,B3,,2018,9,Monday,6,Part Three,MASCOT ST,3,42.28633596,-71.08500149,432.0
3114,A1,,2018,9,Monday,6,Part Three,ARLINGTON ST,3,42.35061995,-71.07009458,120.0
3115,E13,,2018,8,Wednesday,10,Part Three,ARBORWAY,29,42.3056348,-71.11982238,652.0
3006,A1,,2018,9,Monday,4,Part Three,HARVARD ST,3,42.34993442,-71.06230334,123.0
3115,E18,,2018,9,Monday,3,Part Three,FAIRLAWN AVE,3,42.26788791,-71.10067012,480.0
1402,C11,,2018,8,Friday,7,Part Two,BULLARD ST,31,42.3021878,-71.07365004,462.0
301,D14,,2018,9,Monday,3,Part One,PORTSMOUTH ST,3,42.36053257,-71.14426332,805.0
423,D14,,2018,9,Monday,3,Part One,PORTSMOUTH ST,3,42.36053257,-71.14426332,805.0
3160,B3,,2018,9,Monday,1,Part Three,NORWELL ST,3,42.29828416,-71.07869447,446.0
900,B3,,2018,9,Monday,1,Other,NORWELL ST,3,42.29828416,-71.07869447,446.0
2610,B3,,2018,9,Monday,3,Part Two,NORWELL ST,3,42.29828416,-71.07869447,446.0
3301,D4,,2018,9,Monday,2,Part Three,HUNTINGTON AVE,3,42.3420185,-71.08566213,594.0
3301,B3,,2018,9,Monday,0,Part Three,WOODHAVEN ST,3,42.27105479,-71.09753898,472.0
413,A1,,2018,9,Monday,1,Part One,TREMONT ST,3,42.35428377,-71.06380404,111.0
3115,D4,,2018,9,Monday,2,Part Three,BOYLSTON ST,3,42.34710196,-71.08841746,620.0
3125,A1,,2018,9,Monday,2,Part Three,FAYETTE ST,3,42.34943694,-71.06650735,121.0
3831,A1,,2018,9,Monday,1,Part Three,TREMONT ST,3,42.34942864,-71.06536641,122.0
3115,E18,,2018,9,Monday,2,Part Three,BEACON ST,3,42.253372,-71.11654302,512.0
3114,C11,,2018,9,Monday,2,Part Three,WHITBY TER,3,42.3143418,-71.06050395,823.0
3301,B2,,2018,9,Monday,1,Part Three,WAVERLY ST,3,42.32037671,-71.07903447,265.0
801,D14,,2018,9,Monday,2,Part Two,WASHINGTON ST,3,42.35042609,-71.16637332,752.0
3801,,,2018,9,Monday,2,Part Three,,3,42.30340674,-71.08526661,nan
3301,B3,,2018,9,Monday,2,Part Three,LYNNVILLE TER,3,42.30256638,-71.0782904,455.0
3002,B2,,2018,9,Monday,1,Part Three,EUSTIS ST,3,42.33166164,-71.08147827,276.0
802,A1,,2018,9,Monday,1,Part Two,FANEUIL HALL MARKETPLACE,3,42.35997967,-71.05474135,93.0
413,C11,,2018,9,Monday,1,Part One,BOWDOIN AVE,3,42.30234412,-71.0763037,461.0
2900,E13,,2018,9,Monday,0,Part Two,AMERICAN LEGION HWY,3,42.28929101,-71.10358494,565.0
3410,E13,,2018,9,Monday,0,Part Three,AMERICAN LEGION HWY,3,42.28929101,-71.10358494,565.0
802,,,2018,9,Monday,1,Part Two,,3,42.33893316,-71.08114319,nan
3820,A7,,2018,9,Monday,0,Part Three,SUMNER ST,3,42.36865862,-71.03924873,902.0
3114,D4,,2018,9,Monday,1,Part Three,SHAWMUT AVE,3,42.33953776,-71.07472432,157.0
3301,C11,,2018,9,Sunday,0,Part Three,TALBOT AVE,2,42.28935481,-71.06767297,398.0
802,C11,,2018,9,Sunday,23,Part Two,DAWSON ST,2,42.28984188,-71.05843518,366.0
802,C11,,2018,9,Sunday,23,Part Two,DITSON ST,2,42.30108481,-71.06390782,352.0
802,D4,,2018,9,Monday,0,Part Two,SHAWMUT AVE,3,42.34107714,-71.0723957,166.0
619,D14,,2018,9,Sunday,23,Part One,GORDON ST,2,42.35293536,-71.14050052,782.0
520,C11,,2018,9,Sunday,23,Part One,BURT ST,2,42.28413536,-71.06957385,402.0
2007,C11,,2018,9,Sunday,23,Part Two,BURT ST,2,42.28413536,-71.06957385,402.0
3801,A1,,2018,9,Sunday,23,Part Three,COLUMBUS AVE,2,42.34944475,-71.07072461,128.0
802,D4,,2018,9,Sunday,23,Part Two,JERSEY ST,2,42.34412622,-71.09760878,624.0
1402,C11,,2018,9,Sunday,23,Part Two,DORCHESTER AVE,2,42.30782846,-71.05837474,254.0
613,C6,,2018,9,Sunday,22,Part One,ALLSTATE RD,2,42.32809966,-71.06321676,186.0
802,C11,,2018,9,Sunday,23,Part Two,TAFT ST,2,42.3173029,-71.05793388,244.0
619,D4,,2018,9,Sunday,22,Part One,COMMONWEALTH AVE,2,42.34877575,-71.09606805,623.0
3006,E18,,2018,9,Sunday,22,Part Three,HARVARD AVE,2,42.25874573,-71.12243682,519.0
3115,E18,,2018,9,Sunday,22,Part Three,MALTA ST,2,42.26506676,-71.09768522,482.0
3114,B3,,2018,9,Sunday,22,Part Three,BLUE HILL AVE,2,42.27219089,-71.09351043,425.0
3006,A7,,2018,9,Sunday,22,Part Three,CHELSEA ST,2,42.37638326,-71.03124103,20.0
3114,B3,,2018,9,Sunday,22,Part Three,W SELDEN ST,2,42.27376816,-71.08919673,421.0
413,E13,,2018,9,Sunday,21,Part One,COLUMBUS AVE,2,42.31501293,-71.0975669,572.0
2405,A1,,2018,9,Sunday,22,Part Two,BOYLSTON ST,2,42.3523119,-71.0637051,117.0
2610,A1,,2018,9,Sunday,22,Part Two,BOYLSTON ST,2,42.3523119,-71.0637051,117.0
3301,B2,,2018,9,Sunday,22,Part Three,HILLSIDE ST,2,42.33013124,-71.10138008,586.0
413,C11,,2018,9,Sunday,22,Part One,DORCHESTER AVE,2,42.30396336,-71.05924636,348.0
3006,E13,,2018,9,Sunday,21,Part Three,ROBINWOOD AVE,2,42.31668732,-71.11261214,639.0
3801,A1,,2018,9,Sunday,21,Part Three,SUMMER ST,2,42.35332464,-71.05727637,113.0
3115,B2,,2018,9,Sunday,22,Part Three,SLAYTON WAY,2,42.32177032,-71.09779774,304.0
1402,C6,,2018,9,Sunday,21,Part Two,P ST,2,42.33292583,-71.02709025,232.0
2648,C6,,2018,9,Sunday,21,Part Two,P ST,2,42.33292583,-71.02709025,232.0
3108,C11,,2018,9,Sunday,21,Part Three,ADAMS ST,2,42.28523455,-71.05509673,379.0
2905,,,2018,9,Sunday,22,Part Two,,2,42.31138549,-71.08113966,nan
3802,,,2018,9,Sunday,22,Part Three,,2,42.31138549,-71.08113966,nan
3115,D4,,2018,9,Sunday,22,Part Three,BOYLSTON ST,2,42.34901954,-71.08130134,138.0
3803,,,2018,9,Sunday,21,Part Three,,2,42.31022711,-71.07233091,nan
3501,C11,,2018,9,Sunday,20,Part Three,COLEMAN ST,2,42.30776342,-71.06683062,335.0
3006,C11,,2018,9,Sunday,21,Part Three,CARSON ST,2,42.3197573,-71.05428941,235.0
423,B2,,2018,9,Sunday,21,Part One,CENTRE ST,2,42.32955354,-71.09357444,291.0
802,B2,,2018,9,Sunday,21,Part Two,CENTRE ST,2,42.32955354,-71.09357444,291.0
802,E18,,2018,9,Sunday,20,Part Two,AMERICAN LEGION HWY,2,42.27531312,-71.11587798,490.0
2647,C6,,2018,9,Sunday,21,Part Two,E BROADWAY,2,42.33561661,-71.03641895,222.0
3207,D14,,2018,9,Sunday,21,Part Three,WASHINGTON ST,2,42.349056,-71.1504985,778.0
613,B3,,2018,9,Sunday,21,Part One,MORTON ST,2,42.28187061,-71.08751152,428.0
802,C11,,2018,9,Sunday,20,Part Two,WASHINGTON ST,2,42.29417346,-71.07193797,359.0
3802,B3,,2018,9,Sunday,20,Part Three,TALBOT AVE,2,42.29389648,-71.08451577,441.0
3803,B2,,2018,9,Sunday,20,Part Three,MARTIN LUTHER KING JR BLV,2,42.31791574,-71.0821563,311.0
3301,B3,,2018,9,Sunday,20,Part Three,PARK ST,2,42.29482381,-71.07603424,448.0
3802,D14,,2018,9,Sunday,18,Part Three,WASHINGTON ST,2,42.34724186,-71.14870339,777.0
3301,E18,,2018,9,Sunday,20,Part Three,READVILLE ST,2,42.24077498,-71.13536804,530.0
1402,E13,,2018,9,Sunday,20,Part Two,HORAN WAY,2,42.32547536,-71.10253482,906.0
613,C11,,2018,9,Sunday,19,Part One,DORCHESTER AVE,2,42.31322413,-71.05715277,247.0
670,A1,,2018,9,Sunday,19,Other,TREMONT ST,2,42.34868544,-71.06608848,127.0
615,A1,,2018,8,Tuesday,20,Part One,TREMONT ST,28,42.34868544,-71.06608848,127.0
3116,,,2018,9,Sunday,19,Part Three,ROWES,2,-1.0,-1.0,nan
802,A1,,2018,9,Sunday,20,Part Two,TREMONT ST,2,42.356585,-71.06189505,102.0
3802,C6,,2018,9,Sunday,20,Part Three,SEAPORT BLVD,2,42.35311458,-71.04842121,206.0
3006,B2,,2018,9,Sunday,19,Part Three,NAZING CT,2,42.3075244,-71.08720471,319.0
3301,C6,,2018,9,Sunday,19,Part Three,MASSACHUSETTS AVE,2,42.32198656,-71.06280666,185.0
3201,D14,,2018,8,Friday,22,Part Three,LINDEN ST,31,42.35179211,-71.13023989,796.0
1504,D4,,2018,9,Sunday,19,Part Two,BROOKLINE AVE,2,42.34717072,-71.09855075,624.0
423,D4,,2018,9,Sunday,19,Part One,BROOKLINE AVE,2,42.34717072,-71.09855075,624.0
2405,D4,,2018,9,Sunday,19,Part Two,BROOKLINE AVE,2,42.34717072,-71.09855075,624.0
3006,C11,,2018,9,Sunday,19,Part Three,BARRY ST,2,42.30870401,-71.06844484,335.0
2629,C6,,2018,9,Sunday,19,Part Two,O ST,2,42.33783948,-71.02929361,223.0
3831,B2,,2018,8,Friday,20,Part Three,FAIRLAND ST,31,42.32522448,-71.07821131,266.0
1830,A7,,2018,9,Sunday,18,Part Two,SUMNER ST,2,42.36967378,-71.04155054,27.0
3831,,,2018,9,Saturday,20,Part Three,,1,42.27882254,-71.06951915,nan
3006,B2,,2018,9,Sunday,19,Part Three,WAUMBECK ST,2,42.3140129,-71.08635277,315.0
614,D14,,2018,9,Saturday,16,Part One,GLENVILLE AVE,1,42.3502537,-71.13336819,794.0
614,B2,,2018,9,Sunday,18,Part One,ADAMS ST,2,42.32851529,-71.07653709,268.0
1402,B2,,2018,9,Sunday,18,Part Two,ADAMS ST,2,42.32851529,-71.07653709,268.0
2405,,,2018,9,Sunday,18,Part Two,,2,42.35626508,-71.06226479,nan
3108,C11,,2018,9,Sunday,18,Part Three,CENTRE ST,2,42.29339151,-71.062944,361.0
3820,D4,,2018,9,Sunday,18,Part Three,BOYLSTON ST,2,42.34442266,-71.09833083,627.0
